# Curva de traccion - Renfe Serie 333.3
# Masa: 120. t
# Potencia en llanta: 2237. kW
# Velocidad maxima comercial: 160. km/h
# Coef. adherencia inicial: .3
# Esfuerzo en arranque: 377. kN
# Esfuerzo continuo (transicion): 296.17 kN a 27.19 km/h
# Coeficientes Davis (OR): A=916 B=42 C=4.85
# 
V_kmh,V_ms,ET_kN,ET_N,F_gancho_0_kN,F_gancho_20_kN,P_kW
0.0,0.0,376.704,376704.0,375.788,352.244,0.0
1.0,0.2777777777777778,372.97425742574256,372974.2574257426,372.04621653068085,348.5022165306808,103.60396039603961
2.0,0.5555555555555556,369.31764705882347,369317.6470588235,368.37681681190986,344.8328168119099,205.17647058823528
3.0,0.8333333333333333,365.7320388349515,365732.03883495147,364.7776707793959,341.23367077939594,304.77669902912623
4.0,1.1111111111111112,362.2153846153846,362215.3846153846,361.24673029439697,337.70273029439693,402.46153846153845
5.0,1.3888888888888888,358.76571428571424,358765.71428571426,357.78202524250435,334.23802524250436,498.2857142857142
6.0,1.6666666666666665,355.38113207547167,355381.1320754717,354.38165985324946,330.8376598532494,592.3018867924527
7.0,1.9444444444444444,352.05981308411214,352059.81308411213,351.04380922608743,327.49980922608745,684.5607476635514
8.0,2.2222222222222223,348.8,348800.0,347.76671604938275,324.2227160493827,775.1111111111112
9.0,2.5,345.6,345600.0,344.5486875,321.00468750000005,864.0
10.0,2.7777777777777777,342.4581818181818,342458.1818181818,341.38809231200895,317.84409231200897,951.2727272727271
15.0,4.166666666666667,327.5686956521739,327568.6956521739,326.39349426328505,302.849494263285,1364.8695652173915
20.0,5.555555555555555,313.92,313920.0,312.620975308642,289.076975308642,1744.0
25.0,6.944444444444445,301.3632,301363.2,299.92164058641976,276.3776405864198,2092.8
27.19095660629634,7.5530435017489825,296.172,296172.0,294.6620871121509,271.1180871121509,2237.0
30.0,8.333333333333334,268.44,268440.0,266.83719444444444,243.29319444444445,2237.0
35.0,9.722222222222221,230.0914285714286,230091.42857142858,228.30866545414463,204.76466545414465,2237.0
40.0,11.11111111111111,201.33,201330.0,199.3485679012346,175.80456790123458,2237.0
45.0,12.5,178.96,178960.0,176.7611875,153.21718750000002,2237.0
50.0,13.88888888888889,161.064,161064.0,158.62909567901235,135.08509567901234,2237.0
60.0,16.666666666666668,134.22,134220.0,131.25677777777778,107.71277777777777,2237.0
70.0,19.444444444444443,115.0457142857143,115045.71428571429,111.47932848324515,87.93532848324516,2237.0
80.0,22.22222222222222,100.665,100665.0,96.42060493827161,72.87660493827161,2237.0
90.0,25.0,89.48,89480.0,84.48275000000001,60.93875,2237.0
100.0,27.77777777777778,80.532,80532.0,74.70704938271605,51.163049382716046,2237.0
110.0,30.555555555555554,73.21090909090908,73210.90909090909,66.48341217732883,42.93941217732883,2236.9999999999995
120.0,33.333333333333336,67.11,67110.0,59.40511111111111,35.861111111111114,2237.0
130.0,36.11111111111111,61.94769230769231,61947.692307692305,53.19056576448243,29.646565764482432,2236.9999999999995
140.0,38.888888888888886,57.52285714285715,57522.857142857145,47.63864726631394,24.09464726631394,2237.0
150.0,41.666666666666664,53.688,53688.0,42.60186111111111,19.05786111111111,2237.0
160.0,44.44444444444444,50.3325,50332.5,37.969586419753085,14.425586419753088,2237.0
170.0,47.22222222222222,47.37176470588235,47371.76470588235,33.65723075526506,10.113230755265064,2236.9999999999995
